,step,n_samples,jitter,eps,min_pts,DBSCAN
248,8,1000,0.15,0.2,49,0.0
249,9,1000,0.15,0.2,49,0.0
250,0,1000,0.15,0.5,17,0.0
251,1,1000,0.15,0.5,17,-0.0019639383428045358
252,2,1000,0.15,0.5,17,0.0
253,3,1000,0.15,0.5,17,7.672985006701068e-15
254,4,1000,0.15,0.5,17,7.672985006701068e-15
255,5,1000,0.15,0.5,17,0.0
256,6,1000,0.15,0.5,17,0.0
257,7,1000,0.15,0.5,17,0.0
258,8,1000,0.15,0.5,17,0.0
259,9,1000,0.15,0.5,17,0.0
260,0,1000,0.15,0.30000000000000004,34,0.716509186794595
261,1,1000,0.15,0.30000000000000004,34,0.6675890705633287
262,2,1000,0.15,0.30000000000000004,34,0.6415065721015928
263,3,1000,0.15,0.30000000000000004,34,0.6608930586207323
264,4,1000,0.15,0.30000000000000004,34,0.7756921563612199
265,5,1000,0.15,0.30000000000000004,34,0.6572656280677953
266,6,1000,0.15,0.30000000000000004,34,0.8030526984627667
267,7,1000,0.15,0.30000000000000004,34,0.7794023950148521
268,8,1000,0.15,0.30000000000000004,34,0.6760708624007108
269,9,1000,0.15,0.30000000000000004,34,0.7550285618289138
270,0,1000,0.15,0.4,25,0.004033840038731303
271,1,1000,0.15,0.4,25,-0.0013392348928535655
272,2,1000,0.15,0.4,25,-0.0013392348928535655
273,3,1000,0.15,0.4,25,0.0010717661423700938
274,4,1000,0.15,0.4,25,-0.00023081117047264892
275,5,1000,0.15,0.4,25,-0.0016939024146372067
276,6,1000,0.15,0.4,25,0.0010717661423700938
277,7,1000,0.15,0.4,25,-0.0016939024146372067
278,8,1000,0.15,0.4,25,-0.0006043380522997003
279,9,1000,0.15,0.4,25,0.0
280,0,1000,0.15,0.2,15,0.6943736616056785
281,1,1000,0.15,0.2,15,0.5727551915908029
282,2,1000,0.15,0.2,15,0.6003333688372556
283,3,1000,0.15,0.2,15,0.6349161468777559
284,4,1000,0.15,0.2,15,0.7708521869048406
285,5,1000,0.15,0.2,15,0.6971189014921804
286,6,1000,0.15,0.2,15,0.6411174040938071
287,7,1000,0.15,0.2,15,0.727888962458914
288,8,1000,0.15,0.2,15,0.6730760498605223
289,9,1000,0.15,0.2,15,0.7097089423334791
290,0,1000,0.15,0.5,65,0.7560973101387782
291,1,1000,0.15,0.5,65,-0.0013581850364474738
292,2,1000,0.15,0.5,65,0.003336726156876473
293,3,1000,0.15,0.5,65,0.7873950148858904
294,4,1000,0.15,0.5,65,0.7962793213997128
295,5,1000,0.15,0.5,65,0.005072978638545186
296,6,1000,0.15,0.5,65,0.0016897514583758698
297,7,1000,0.15,0.5,65,0.005067808215093307
298,8,1000,0.15,0.5,65,0.688872243853512
299,9,1000,0.15,0.5,65,-0.0006306767652548881
300,0,1000,0.15,0.30000000000000004,49,0.33017907176959777
301,1,1000,0.15,0.30000000000000004,49,0.26623701597125393
302,2,1000,0.15,0.30000000000000004,49,0.33640018092610385
303,3,1000,0.15,0.30000000000000004,49,0.28402649757800313
304,4,1000,0.15,0.30000000000000004,49,0.3323957282048495
305,5,1000,0.15,0.30000000000000004,49,0.24560815377807443
306,6,1000,0.15,0.30000000000000004,49,0.2982119336208659
307,7,1000,0.15,0.30000000000000004,49,0.3028754441165631
308,8,1000,0.15,0.30000000000000004,49,0.27502690509106387
309,9,1000,0.15,0.30000000000000004,49,0.28803836153330836
310,0,1000,0.15,0.30000000000000004,30,0.7689492399364635
311,1,1000,0.15,0.30000000000000004,30,0.7555695269538453
312,2,1000,0.15,0.30000000000000004,30,0.7822004000018721
313,3,1000,0.15,0.30000000000000004,30,0.8118650842581551
314,4,1000,0.15,0.30000000000000004,30,0.8187783536953254
315,5,1000,0.15,0.30000000000000004,30,0.7630698946221357
316,6,1000,0.15,0.30000000000000004,30,0.8188401484488146
317,7,1000,0.15,0.30000000000000004,30,0.8122993677616945
318,8,1000,0.15,0.30000000000000004,30,0.7459674551506372
319,9,1000,0.15,0.30000000000000004,30,0.8039859535080616
320,0,1000,0.15,0.2,38,0.0
321,1,1000,0.15,0.2,38,0.0
322,2,1000,0.15,0.2,38,0.0
323,3,1000,0.15,0.2,38,0.0
324,4,1000,0.15,0.2,38,0.0
325,5,1000,0.15,0.2,38,0.0
326,6,1000,0.15,0.2,38,0.0
327,7,1000,0.15,0.2,38,0.0
328,8,1000,0.15,0.2,38,0.0
329,9,1000,0.15,0.2,38,0.0
330,0,1000,0.15,0.4,30,-0.0013010005705662543
331,1,1000,0.15,0.4,30,-0.00132521548872384
332,2,1000,0.15,0.4,30,-0.0015424734258113015
333,3,1000,0.15,0.4,30,0.0010717661423700938
334,4,1000,0.15,0.4,30,-0.00132521548872384
335,5,1000,0.15,0.4,30,-0.00132521548872384
336,6,1000,0.15,0.4,30,-0.0006043380522997003
337,7,1000,0.15,0.4,30,-0.0016939024146372067
338,8,1000,0.15,0.4,30,-0.0007748282749722725
339,9,1000,0.15,0.4,30,-0.0016939024146372067
340,0,1000,0.15,0.7000000000000001,43,0.0
341,1,1000,0.15,0.7000000000000001,43,7.672985006701068e-15
342,2,1000,0.15,0.7000000000000001,43,0.0
343,3,1000,0.15,0.7000000000000001,43,0.0
344,4,1000,0.15,0.7000000000000001,43,0.0
345,5,1000,0.15,0.7000000000000001,43,0.0
346,6,1000,0.15,0.7000000000000001,43,0.0
347,7,1000,0.15,0.7000000000000001,43,0.0
348,8,1000,0.15,0.7000000000000001,43,0.0
349,9,1000,0.15,0.7000000000000001,43,0.0
350,0,1000,0.15,0.30000000000000004,21,0.828155409975131
351,1,1000,0.15,0.30000000000000004,21,0.8572854026043427
352,2,1000,0.15,0.30000000000000004,21,0.8458742135699893
353,3,1000,0.15,0.30000000000000004,21,0.8444834394083608
354,4,1000,0.15,0.30000000000000004,21,0.853100861739956
355,5,1000,0.15,0.30000000000000004,21,-0.0010071677228433544
356,6,1000,0.15,0.30000000000000004,21,0.0006242656347376651
357,7,1000,0.15,0.30000000000000004,21,0.8671316677215248
358,8,1000,0.15,0.30000000000000004,21,0.8363123877093561
359,9,1000,0.15,0.30000000000000004,21,-0.00044120723716452385
360,0,1000,0.15,0.4,12,0.0
361,1,1000,0.15,0.4,12,-0.0013392348928535655
362,2,1000,0.15,0.4,12,7.672985006701068e-15
363,3,1000,0.15,0.4,12,7.672985006701068e-15
364,4,1000,0.15,0.4,12,7.672985006701068e-15
365,5,1000,0.15,0.4,12,0.0
366,6,1000,0.15,0.4,12,0.0
367,7,1000,0.15,0.4,12,0.0
368,8,1000,0.15,0.4,12,-0.0013392348928535655
369,9,1000,0.15,0.4,12,0.0
370,0,1000,0.15,0.6000000000000001,52,0.0
371,1,1000,0.15,0.6000000000000001,52,7.672985006701068e-15
372,2,1000,0.15,0.6000000000000001,52,0.0
373,3,1000,0.15,0.6000000000000001,52,7.672985006701068e-15
374,4,1000,0.15,0.6000000000000001,52,7.672985006701068e-15
375,5,1000,0.15,0.6000000000000001,52,7.672985006701068e-15
376,6,1000,0.15,0.6000000000000001,52,0.0
377,7,1000,0.15,0.6000000000000001,52,7.672985006701068e-15
378,8,1000,0.15,0.6000000000000001,52,-0.0019639383428045358
379,9,1000,0.15,0.6000000000000001,52,0.0
380,0,1000,0.15,0.2,64,0.0
381,1,1000,0.15,0.2,64,0.0
382,2,1000,0.15,0.2,64,0.0
383,3,1000,0.15,0.2,64,0.0
384,4,1000,0.15,0.2,64,0.0
385,5,1000,0.15,0.2,64,0.0
386,6,1000,0.15,0.2,64,0.0
387,7,1000,0.15,0.2,64,0.0
388,8,1000,0.15,0.2,64,0.0
389,9,1000,0.15,0.2,64,0.0
390,0,1000,0.15,0.5,27,0.0
391,1,1000,0.15,0.5,27,-0.0019639383428045358
392,2,1000,0.15,0.5,27,0.0
393,3,1000,0.15,0.5,27,7.672985006701068e-15
394,4,1000,0.15,0.5,27,7.672985006701068e-15
395,5,1000,0.15,0.5,27,0.0
396,6,1000,0.15,0.5,27,7.672985006701068e-15
397,7,1000,0.15,0.5,27,0.0
398,8,1000,0.15,0.5,27,7.672985006701068e-15
399,9,1000,0.15,0.5,27,0.0
400,0,1000,0.15,0.30000000000000004,43,0.5147593810443294
401,1,1000,0.15,0.30000000000000004,43,0.3800675900000432
402,2,1000,0.15,0.30000000000000004,43,0.4803666593698922
403,3,1000,0.15,0.30000000000000004,43,0.41898820255163505
404,4,1000,0.15,0.30000000000000004,43,0.4819607262969227
405,5,1000,0.15,0.30000000000000004,43,0.43110162306091754
406,6,1000,0.15,0.30000000000000004,43,0.400478601829236
407,7,1000,0.15,0.30000000000000004,43,0.4878459806361408
408,8,1000,0.15,0.30000000000000004,43,0.5171271042774731
409,9,1000,0.15,0.30000000000000004,43,0.43471830452377885
410,0,1000,0.15,0.30000000000000004,33,0.7383090851688189
411,1,1000,0.15,0.30000000000000004,33,0.6890576144752163
412,2,1000,0.15,0.30000000000000004,33,0.6471157760039276
413,3,1000,0.15,0.30000000000000004,33,0.7506081840831385
414,4,1000,0.15,0.30000000000000004,33,0.767952125055968
415,5,1000,0.15,0.30000000000000004,33,0.658722287038456
416,6,1000,0.15,0.30000000000000004,33,0.8067496380963098
